"","1-b","1-m","10-b","10-m","5-b","5-m","s-b","s-m"
"Cre02.g118750.t1.1.v5.5",0,0,2.70754322018096,0,21.4096283615235,4.16661880944182,68.978568878156,0
"Cre02.g118801.t1.1.v5.5",0,0.981598970636752,0.570009098985465,14.6329564482333,0.769208204605635,0,0,0
"Cre02.g118850.t1.2.v5.5",817.130141241287,130.552663094688,181.76165143899,455.857240463712,249.864465129397,360.181048193971,0,1168.84264658297
"Cre02.g118900.t1.2.v5.5",1059.79303167052,634.112935031342,37.8343539451603,60.3609453489624,51.4087483411432,60.1844939141596,0,0
"Cre02.g118950.t1.2.v5.5",0,0,56.2883985248147,62.393300411217,71.6645643957583,101.850682008578,0,0
"Cre02.g119000.t1.1.v5.5",0,137.423855889145,43.2494403855222,59.5480033240605,56.921407140817,80.5546303158752,59.124487609848,1484.74606457836
"Cre02.g119050.t1.1.v5.5",0,204.172585892445,20.235323013984,14.6329564482333,17.6917887059296,30.0922469570798,9.854081268308,0
"Cre02.g119100.t1.2.v5.5",0,1.9631979412735,13.5377161009048,0,14.3585531526385,12.0368987828319,19.708162536616,0
"Cre02.g119150.t1.2.v5.5",257.519802088163,0,10.6164194686043,9.14559778014581,11.5381230690845,22.2219669836897,128.103056488004,0
"Cre02.g119201.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g119250.t1.2.v5.5",0,0,1.85252957170276,0,1.53841640921127,0,0,0
"Cre02.g119300.t1.2.v5.5",0,0,8.0513785231697,0,3.20503418585681,0,9.854081268308,0
"Cre02.g119350.t1.2.v5.5",0,0,5.13008189086919,8.94236227392035,3.33323555329108,0,0,0
"Cre02.g119400.t1.1.v5.5",0,178.651012655889,26.0066651412119,33.3306230209758,40.3834307417958,1.85183058197414,0,0
"Cre02.g119450.t1.2.v5.5",490.278084744772,0,65.4085441085822,17.8847245478407,25.3838707519859,78.7027997339011,0,10.5301139331799
"Cre02.g119484.t1.2.v5.5",0,0,0.0712511373731832,0,0,0,0,0
"Cre02.g119500.t1.1.v5.5",0,0,31.9917606805593,25.8109092906337,12.8201367434272,0,0,0
"Cre02.g119526.t1.1.v5.5",0,0,0,0,2.05122187894836,0,0,0
"Cre02.g119550.t1.2.v5.5",0,217.914971481359,80.6562875064434,153.849278212675,126.150145555324,187.034888779388,0,0
"Cre02.g119600.t1.2.v5.5",4.95230388631083,0,0,0,0.51280546973709,0,0,0
"Cre02.g119650.t1.1.v5.5",0,0,15.0339899857417,20.9332571412226,10.7689148644789,0,0,10.5301139331799
"Cre02.g119651.t1.2.v5.5",14.8569116589325,0.981598970636752,33.9867925270084,37.3953331454851,38.4604102302817,24.5367552111574,0,10.5301139331799
"Cre02.g119700.t1.1.v5.5",0,0,29.4979708724978,0.406471012450925,18.332795543101,0,0,0
"Cre02.g119751.t1.1.v5.5",4.95230388631083,1.9631979412735,0,0,3.33323555329108,0.925915290987071,0,0
"Cre02.g119800.t1.1.v5.5",0,193.37499721544,53.8658598541265,17.0717825229389,36.0245842490306,7.40732232789657,9.854081268308,263.252848329497
"Cre02.g119850.t1.1.v5.5",14.8569116589325,0,22.8716150967918,6.09706518676388,12.0509285388216,15.2776023012867,19.708162536616,0
"Cre02.g119900.t1.2.v5.5",307.042840951272,114.8470795645,80.8700409185629,119.908948673023,68.4595302099015,62.4992821416273,9.854081268308,0
"Cre02.g119950.t1.2.v5.5",0,0.981598970636752,6.7688580504524,0,14.9995599898099,0,0,0
"Cre02.g120001.t1.1.v5.5",14.8569116589325,0,0,0,1.410215041777,0,157.665300292928,0
"Cre02.g120050.t1.2.v5.5",0,0,6.41260236358649,0,3.07683281842254,0,0,0
"Cre02.g120100.t1.2.v5.5",787.416317923422,360.246822223688,272.036842490813,763.759032395288,543.958402023618,1476.37193147889,68.978568878156,10.5301139331799
"Cre02.g120150.t1.2.v5.5",6987.70078358458,8856.96751205542,1308.0283798969,2498.57731353584,5584.96437090664,5217.06970706665,7459.53952010916,16448.037963627
"Cre02.g120200.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre02.g120250.t1.1.v5.5",0,0,3.34880345653961,5.08088765563656,0,0,0,0
"Cre02.g120250.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g120301.t1.1.v5.5",0,0,1.7100272969564,0,0.256402734868545,0,0,0
"Cre02.g120350.t1.2.v5.5",0,1.9631979412735,6.48385350095967,0,3.58963828815963,0,59.124487609848,0
"Cre02.g127237.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g134124.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g140900.t1.1.v5.5",0,0,35.3405641370989,14.8361919544588,11.4099217016502,9.72211055536425,0,0
"Cre02.g140921.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g140941.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g140961.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g140981.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g141000.t1.1.v5.5",836.93935678653,0.981598970636752,26.3629208280778,10.7714818299495,18.9738023802723,0.462957645493536,0,0
"Cre02.g141004.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g141005.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g141006.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g141011.t1.1.v5.5",0,0,0,0,1.79481914407981,0,0,0
"Cre02.g141026.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g141046.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g141050.t1.1.v5.5",0,0,51.7995768703042,35.9726846019069,46.4088950112066,34.7218234120152,0,10.5301139331799
"Cre02.g141066.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g141066.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g141066.t3.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g141066.t4.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g141086.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g141086.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g141100.t1.2.v5.5",0,0,28.9992129108856,24.7947317595064,19.743010584878,52.3142139407695,0,0
"Cre02.g141106.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g141106.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g141126.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g141146.t1.1.v5.5",0,0,0,0,0,0,0,0
